,Concentration,Predicted,Percent Error
0,10,10.768636491190737,7.6863649119073685
1,15,16.128411304924825,7.5227420328321655
2,20,21.286482524742393,6.432412623711965
3,25,26.608538807158872,6.43415522863549
4,30,31.832268329820543,6.107561099401812
5,10,10.215629502677764,2.1562950267776415
6,15,15.551102530695571,3.674016871303808
7,20,20.071370767795827,0.35685383897913425
8,25,25.74155189023793,2.966207560951716
9,30,30.280029266935085,0.9334308897836152
10,10,8.92102104850423,10.789789514957704
11,15,13.67865658268355,8.808956115443003
12,20,18.813881635170745,5.930591824146276
13,25,24.194521480730415,3.2219140770783383
14,30,28.45623661324375,5.145877955854168
15,10,9.083492711711063,9.165072882889369
16,15,14.070727235004213,6.1951517666385785
17,20,19.042637448973533,4.786812755132335
18,25,23.650062443299838,5.3997502268006485
19,30,29.457397138202467,1.8086762059917778
20,10,8.73282771793873,12.671722820612707
21,15,13.593906620492039,9.373955863386408
22,20,18.302214003153317,8.488929984233415
23,25,23.569996852629302,5.720012589482792
24,30,28.834818233463217,3.8839392217892765
25,10,8.266622338068597,17.33377661931403
26,15,13.002823339066909,13.314511072887273
27,20,19.324403263265914,3.377983683670429
28,25,25.253857629263685,1.0154305170547389
29,30,29.814087987305378,0.6197067089820745
30,10,8.882802670917009,11.17197329082991
31,15,14.424892452327596,3.834050317816029
32,20,20.86152591349563,4.307629567478148
33,25,26.323956959667527,5.295827838670107
34,30,31.382332843480345,4.607776144934483
35,10,9.350323785257626,6.496762147423745
36,15,16.081802910037545,7.212019400250304
37,20,22.985213155084658,14.92606577542329
38,25,28.5491074480974,14.196429792389594
39,30,27.46634967705373,8.445501076487561
